,2014,2015,2016,2017,2018,2019,2020,2021
111000,75,30,41,32,31,48,40,64
112000,27,28,34,24,20,14,11,<10
113110,40,41,31,<10,<10,<10,<10,<10
113210,0,0,0,0,0,0,0,<10
113310,19,21,17,29,26,24,23,30
114111,0,0,0,0,0,0,0,0
114112,0,0,0,0,0,0,0,0
114119,0,0,0,0,0,0,0,0
114210,0,0,0,0,0,0,0,0
115111,0,0,0,0,0,0,0,0
115112,<10,<10,<10,<10,<10,<10,<10,<10
115113,0,0,0,0,0,0,0,0
115114,13,<10,<10,<10,11,<10,<10,<10
115115,0,0,0,0,<10,<10,<10,<10
115116,0,0,0,0,0,0,<10,<10
115210,40,61,63,55,61,58,59,59
115310,<10,<10,<10,<10,<10,<10,<10,<10
211120,0,0,0,0,0,0,0,0
211130,0,0,0,0,0,0,0,0
212111,0,0,0,0,0,0,0,0
212112,0,0,0,0,0,0,0,0
212113,0,0,0,0,0,0,0,0
212210,0,0,0,0,0,0,0,0
212221,0,0,0,0,0,0,0,0
212222,0,0,0,0,0,0,0,0
212230,0,0,0,0,0,0,0,0
212291,0,0,0,0,0,0,0,0
212299,0,0,0,0,0,0,0,0
212311,0,0,0,0,0,0,0,0
212312,0,0,0,0,0,0,0,0
212313,41,53,88,88,96,55,41,37
212319,<10,13,22,28,38,83,97,106
212321,0,0,0,0,0,0,0,0
212322,0,0,0,0,0,0,0,0
212324,0,0,0,16,19,23,23,138
212325,0,0,115,<10,0,0,0,0
212391,0,0,0,0,0,0,<10,<10
212392,0,0,0,0,0,0,0,0
212393,0,0,0,0,0,0,0,0
212399,0,0,0,0,0,0,0,<10
213111,40,28,59,0,0,0,0,0
213112,<10,41,62,51,45,40,32,42
213113,0,0,0,0,0,0,0,0
213114,0,0,0,0,0,0,0,0
213115,0,0,0,0,0,0,0,0
221111,0,0,0,0,0,0,0,<10
221112,54,81,44,318,<10,<10,<10,<10
221113,0,0,0,0,0,0,0,0
221114,0,<10,<10,<10,<10,<10,19,22
221115,0,0,0,0,0,0,0,0
221116,0,0,0,0,0,0,0,0
221117,0,<10,<10,0,0,0,0,0
221118,0,0,0,0,0,0,<10,<10
221121,0,0,0,0,0,0,484,426
221122,1'863,2'050,1'952,1'732,1'925,1'868,1'281,1'321
221210,1'059,1'110,1'124,1'144,1'033,1'049,1'101,1'123
221310,92,95,84,41,109,59,35,33
221320,30,15,0,0,0,0,0,0
221330,0,0,0,0,0,0,0,0
236115,943,1'109,1'530,1'719,1'860,1'904,1'732,1'879
236116,133,188,238,376,383,375,460,415
236117,353,357,329,428,399,422,384,409
236118,609,623,669,688,603,611,696,894
236210,193,114,132,298,371,355,451,396
236220,3'197,3'303,3'617,3'656,3'963,4'254,4'191,4'350
237110,356,436,413,430,591,682,761,832
237120,14,19,19,28,14,24,30,13
237130,1'120,1'058,1'185,1'270,1'152,1'089,953,888
237210,316,431,574,738,720,665,493,350
237310,336,238,440,544,711,914,979,832
237990,65,68,65,75,116,194,94,131
238110,302,360,417,471,505,572,410,481
238120,33,74,291,269,100,64,47,35
238130,22,64,25,26,15,12,<10,<10
238140,93,117,143,118,96,118,115,109
238150,111,120,113,100,120,144,96,107
238160,180,173,213,212,273,298,290,392
238170,74,62,69,80,81,85,60,65
238190,242,284,376,171,118,81,73,71
238210,2'904,2'933,3'095,3'186,2'786,3'053,2'843,2'820
238220,1'235,1'427,1'510,1'445,1'478,1'250,1'673,1'798
238290,498,539,614,575,455,553,748,749
238310,779,664,593,790,871,923,443,426
238320,468,486,500,478,464,487,453,457
238330,53,63,115,89,98,75,75,81
238340,62,106,63,69,62,61,57,61
238350,217,221,226,247,261,257,248,245
238390,393,310,301,270,269,180,168,159
238910,309,355,373,404,423,390,369,479
238990,426,405,303,246,312,422,411,531
311111,419,361,385,52,122,253,380,411
311119,<10,35,59,<10,<10,14,<10,<10
311211,0,0,0,0,0,0,0,0
311212,0,0,0,0,0,0,0,0
311213,0,0,0,0,0,0,0,0
311221,0,0,0,0,0,0,0,0
311224,0,0,0,0,0,0,0,0
311225,0,<10,11,271,121,74,29,17
311230,0,0,0,0,0,0,0,0
311313,0,0,0,0,0,0,0,0
311314,0,0,0,0,0,0,0,0
311340,<10,<10,14,<10,14,22,12,<10
311351,37,46,43,36,16,<10,12,12
311352,21,13,<10,17,17,18,33,49
311411,0,0,0,0,0,0,<10,13
311412,170,167,176,195,386,394,248,49
